# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Sun, 12-Nov-2023 06:21:53
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000012126	zgc:109965												0.5	1.0	1.0	19.0	36.0	11.0	11.0
ENSDARG00000012135	fbxl2	7.0	31.0	112.0	107.0	43.0	5.0	1.0		2.0	4.0	3.0	4.0	4.0	7.0	8.0	13.0	13.0	16.0
ENSDARG00000012137	cyp46a1.1									2.0	2.0	2.0	2.0	1.0	2.0	1.0	5.0	7.0	3.0
ENSDARG00000012138	sgce							0.9	2.0	21.0	22.0	25.0	21.0	30.0	39.0	40.0	52.0	46.0	50.0
ENSDARG00000012140	ccnl1b	112.0	54.0	202.0	201.0	208.0	238.0	219.0	161.0	139.0	145.0	120.0	81.0	65.0	93.0	51.0	37.0	30.0	25.0
ENSDARG00000012141	papolg	36.0	104.0	446.0	422.0	401.0	162.0	130.0	135.0	100.0	99.0	88.0	86.0	79.0	102.0	70.0	41.0	43.0	47.0
ENSDARG00000012144	emc7	65.0	69.0	108.0	131.0	74.0	39.0	35.0	57.0	85.0	71.0	70.0	74.0	53.0	63.0	54.0	83.0	63.0	52.0
ENSDARG00000012177	rab4b	3.0	3.0	9.0	12.0	4.0	6.0	5.0	2.0	0.9	1.0	2.0	1.0	0.9	1.0	1.0	2.0	3.0	4.0
ENSDARG00000012184	zgc:162872	0.5	2.0	5.0	4.0	2.0	0.4		0.5	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	5.0
ENSDARG00000012192	cant1a	4.0	11.0	57.0	65.0	52.0	42.0	40.0	51.0	46.0	41.0	41.0	41.0	38.0	25.0	30.0	23.0	21.0	21.0
ENSDARG00000012194	scp2a	6.0	9.0	12.0	9.0	7.0	3.0	2.0	2.0	11.0	10.0	11.0	10.0	11.0	11.0	16.0	55.0	115.0	118.0
ENSDARG00000012196	fer	3.0	7.0	23.0	27.0	19.0	6.0	3.0	4.0	5.0	4.0	6.0	6.0	4.0	4.0	4.0	5.0	7.0	5.0
ENSDARG00000012199	gpt2	195.0	241.0	233.0	228.0	242.0	188.0	87.0	25.0	12.0	12.0	17.0	22.0	25.0	26.0	16.0	16.0	15.0	11.0
ENSDARG00000012204	CDK18													2.0	3.0	6.0	8.0	12.0	12.0
ENSDARG00000012215	umps	10.0	10.0	133.0	162.0	138.0	119.0	88.0	122.0	160.0	118.0	124.0	137.0	71.0	41.0	25.0	27.0	17.0	11.0
ENSDARG00000012219	dpf2	3.0	15.0	48.0	46.0	18.0	11.0	9.0	12.0	10.0	10.0	13.0	10.0	11.0	9.0	8.0	10.0	9.0	10.0
ENSDARG00000012222	nup35	202.0	215.0	188.0	182.0	115.0	44.0	48.0	42.0	42.0	34.0	33.0	28.0	20.0	20.0	14.0	11.0	9.0	6.0
ENSDARG00000012234	psme3	509.0	520.0	372.0	350.0	425.0	286.0	199.0	147.0	204.0	159.0	163.0	99.0	64.0	73.0	43.0	36.0	29.0	22.0
ENSDARG00000012244	ube2e3	71.0	90.0	53.0	47.0	50.0	43.0	43.0	52.0	77.0	91.0	89.0	90.0	84.0	92.0	86.0	72.0	59.0	59.0
ENSDARG00000012247	def6a	0.4	0.9	0.9	2.0	3.0	7.0	4.0	4.0	2.0	2.0	1.0	0.5	1.0	0.8	0.5	0.9	1.0	2.0
ENSDARG00000012248	rgma					12.0	33.0	49.0	60.0	52.0	53.0	56.0	46.0	38.0	45.0	50.0	45.0	45.0	42.0
ENSDARG00000012261	eftud2	19.0	33.0	125.0	112.0	111.0	178.0	210.0	197.0	173.0	129.0	129.0	107.0	76.0	82.0	51.0	36.0	29.0	22.0
ENSDARG00000012269	clcn1b														2.0	3.0	2.0	2.0	2.0
ENSDARG00000012271	pacc1	3.0	6.0	4.0	5.0	7.0	5.0	6.0	10.0	9.0	9.0	11.0	8.0	7.0	4.0	4.0	7.0	5.0	3.0
ENSDARG00000012274	eif4e1c	55.0	71.0	161.0	186.0	213.0	214.0	171.0	165.0	178.0	149.0	136.0	105.0	75.0	81.0	63.0	58.0	35.0	24.0
ENSDARG00000012275	katnal2		1.0	1.0	2.0	3.0					0.6		0.9	0.6	0.6	0.7		1.0	
ENSDARG00000012281	zgc:65851	1.0	1.0	0.9	0.2	3.0	9.0	12.0	13.0	6.0	3.0	2.0	2.0	3.0	6.0	11.0	27.0	29.0	25.0
ENSDARG00000012295	bcs1l	1.0	3.0	23.0	26.0	12.0	4.0	2.0	5.0	16.0	18.0	24.0	29.0	20.0	24.0	20.0	20.0	15.0	9.0
ENSDARG00000012297	cnga3b			0.4	0.8	0.8	0.5										8.0	2.0	2.0
ENSDARG00000012306	syt13	0.8	2.0	9.0	12.0	8.0	3.0	3.0	1.0		0.5	3.0	3.0	3.0	2.0	2.0	10.0	11.0	13.0
ENSDARG00000012311	myoz2a										0.4	3.0	13.0	30.0	42.0	34.0	46.0	36.0	36.0
ENSDARG00000012314	usp25	54.0	68.0	81.0	78.0	79.0	58.0	35.0	27.0	17.0	16.0	18.0	15.0	13.0	11.0	10.0	12.0	13.0	17.0
ENSDARG00000012325	zgc:110269	0.8	2.0	32.0	16.0	19.0	30.0	34.0	45.0	40.0	35.0	33.0	24.0	17.0	13.0	16.0	11.0	9.0	9.0
ENSDARG00000012340	ptpn11b	0.5	1.0	0.6	1.0	1.0	0.3			2.0	1.0	4.0	3.0	3.0	1.0	3.0	6.0	6.0	7.0
ENSDARG00000012341	capn9			1.0	2.0	26.0	135.0	191.0	208.0	115.0	75.0	102.0	130.0	93.0	42.0	44.0	24.0	27.0	14.0
ENSDARG00000012347	nacad										0.4	2.0	3.0	3.0	5.0	6.0	11.0	13.0	13.0
ENSDARG00000012353	vipr2			0.6	1.0				0.7				0.5	2.0	0.7	2.0	6.0	6.0	9.0
ENSDARG00000012355	galnt8a.1																0.1	1.0	1.0
ENSDARG00000012366	fbp2												2.0	9.0	16.0	34.0	100.0	82.0	41.0
ENSDARG00000012367	trim46a												0.8	1.0	2.0	4.0	6.0	6.0	7.0
ENSDARG00000012368	ttc21b	0.8	3.0	9.0	11.0	9.0	11.0	21.0	25.0	23.0	12.0	12.0	9.0	8.0	8.0	7.0	5.0	6.0	5.0
ENSDARG00000012369	rdh10b	20.0	43.0	134.0	96.0	146.0	346.0	376.0	270.0	61.0	29.0	26.0	24.0	14.0	10.0	7.0	8.0	10.0	6.0
ENSDARG00000012378	naa35	11.0	11.0	42.0	29.0	30.0	34.0	35.0	24.0	50.0	52.0	60.0	47.0	41.0	45.0	35.0	30.0	29.0	24.0
ENSDARG00000012381	hsc70			0.3	0.3	6.0	6.0	3.0	2.0	0.6	0.6	0.3	0.7	5.0	18.0	22.0	57.0	80.0	100.0
ENSDARG00000012387	pdha1a	15.0	43.0	92.0	115.0	108.0	93.0	74.0	60.0	109.0	109.0	124.0	151.0	158.0	181.0	163.0	216.0	188.0	153.0
ENSDARG00000012388	cox4i1l													5.0		10.0	11.0	16.0	7.0
ENSDARG00000012389	adar	65.0	82.0	79.0	76.0	77.0	92.0	81.0	65.0	47.0	28.0	32.0	23.0	20.0	24.0	17.0	13.0	16.0	16.0
ENSDARG00000012390	kcnk5b	59.0	82.0	64.0	57.0	18.0	10.0	9.0	11.0	15.0	15.0	10.0	7.0	5.0	4.0	5.0	6.0	5.0	5.0
ENSDARG00000012395	mmp13a															1.0	2.0	4.0	2.0
ENSDARG00000012397	eya4	1.0	0.9	5.0	6.0	1.0				3.0	5.0	8.0	25.0	26.0	30.0	30.0	26.0	22.0	22.0
ENSDARG00000012399	adssl	72.0	51.0	200.0	235.0	161.0	160.0	157.0	166.0	197.0	174.0	153.0	133.0	94.0	97.0	49.0	50.0	44.0	35.0
ENSDARG00000012403	ercc6l2	18.0	32.0	38.0	38.0	25.0	7.0	5.0	6.0	14.0	9.0	11.0	7.0	7.0	6.0	5.0	4.0	5.0	7.0
ENSDARG00000012405	col1a1a	0.4	0.7	1.0	1.0	2.0	1.0	1.0	0.9	2.0	27.0	150.0	499.0	878.0	745.0	1362.0	1559.0	1382.0	995.0
ENSDARG00000012407	mgat1a	10.0	37.0	116.0	90.0	31.0	10.0	15.0	22.0	16.0	15.0	12.0	12.0	11.0	9.0	11.0	15.0	16.0	12.0
ENSDARG00000012409	rnf207b						0.7				0.3	0.2	0.8	2.0	2.0	5.0	4.0	6.0	6.0
ENSDARG00000012422	col11a2		0.1	0.3	0.2	0.5	0.1	0.4	0.4	0.7	0.7	18.0	53.0	75.0	72.0	104.0	213.0	177.0	111.0
ENSDARG00000012426	neflb												0.4	5.0	7.0	15.0	24.0	21.0	16.0
ENSDARG00000012432	fam76b	293.0	286.0	347.0	341.0	344.0	280.0	348.0	321.0	182.0	152.0	129.0	115.0	104.0	106.0	73.0	52.0	42.0	36.0
ENSDARG00000012446	zgc:113057	0.1	0.2	0.4	0.4	0.4													
ENSDARG00000012449	si:ch211-169p10.1		0.4	5.0	4.0	3.0	3.0	5.0	6.0	3.0	3.0	3.0	2.0	2.0	0.8	2.0	2.0	4.0	3.0
ENSDARG00000012450	vmp1	143.0	145.0	131.0	141.0	140.0	113.0	79.0	68.0	76.0	56.0	65.0	76.0	50.0	47.0	35.0	43.0	43.0	23.0
ENSDARG00000012453	rnls	5.0	5.0	12.0	9.0	10.0	2.0	0.5		3.0	5.0	9.0	13.0	11.0	11.0	11.0	15.0	13.0	9.0
ENSDARG00000012458	ENSDARG00000012458	179.0	309.0	198.0	154.0	110.0	111.0	109.0	143.0	143.0	146.0	152.0	151.0	147.0	145.0	153.0	162.0	147.0	164.0
ENSDARG00000012460	rassf4a	1.0	2.0	2.0	2.0	0.7									0.1	0.8	0.9	0.8	0.9
ENSDARG00000012467	spint1b	246.0	205.0	172.0	188.0	99.0	49.0	20.0	9.0	15.0	13.0	14.0	21.0	21.0	11.0	18.0	21.0	20.0	21.0
ENSDARG00000012468	aacs	8.0	12.0	38.0	47.0	25.0	4.0	3.0	6.0	2.0	2.0	5.0	6.0	5.0	3.0	3.0	6.0	9.0	7.0
ENSDARG00000012485	aurka	466.0	432.0	339.0	323.0	244.0	215.0	272.0	223.0	128.0	94.0	93.0	70.0	63.0	62.0	37.0	15.0	15.0	8.0
ENSDARG00000012495	mphosph10	40.0	65.0	151.0	153.0	160.0	163.0	162.0	143.0	178.0	133.0	113.0	82.0	49.0	44.0	23.0	24.0	22.0	24.0
ENSDARG00000012496	ENSDARG00000012496																	1.0	1.0
ENSDARG00000012499	per1b	1.0	2.0	10.0	8.0	7.0	3.0	0.6		30.0	29.0	26.0	28.0	13.0	30.0	13.0	40.0	35.0	38.0
ENSDARG00000012504	rlbp1a									1.0	1.0	4.0	4.0	6.0	7.0	20.0	71.0	46.0	42.0
ENSDARG00000012505	u2af2a	37.0	82.0	180.0	190.0	225.0	313.0	305.0	238.0	135.0	105.0	95.0	86.0	80.0	75.0	67.0	44.0	40.0	33.0
ENSDARG00000012506	rnpep	17.0	17.0	29.0	23.0	14.0	18.0	5.0	2.0	12.0	9.0	13.0	17.0	14.0	18.0	15.0	15.0	14.0	6.0
ENSDARG00000012513	sdcbp2	11.0	34.0	128.0	131.0	164.0	230.0	273.0	261.0	132.0	127.0	126.0	118.0	89.0	88.0	92.0	94.0	104.0	94.0
ENSDARG00000012519	hcfc1b	5.0	11.0	126.0	128.0	113.0	132.0	109.0	102.0	80.0	66.0	77.0	75.0	66.0	68.0	52.0	31.0	35.0	32.0
ENSDARG00000012534	slc6a6a											0.4	0.8	0.9	2.0	2.0	3.0	6.0	5.0
ENSDARG00000012535	epx																0.2	0.6	
ENSDARG00000012539	dnase1																	0.8	0.9
ENSDARG00000012553	rap1aa	313.0	275.0	179.0	198.0	280.0	432.0	424.0	382.0	190.0	159.0	151.0	128.0	100.0	101.0	82.0	81.0	67.0	45.0
ENSDARG00000012555	ak5					0.4									0.8	2.0	8.0	11.0	14.0
ENSDARG00000012563	pdss2	38.0	44.0	73.0	70.0	23.0	3.0	1.0	1.0	8.0	11.0	14.0	16.0	16.0	20.0	11.0	19.0	11.0	7.0
ENSDARG00000012572	polr3f	256.0	122.0	66.0	68.0	24.0	20.0	24.0	26.0	29.0	29.0	24.0	19.0	18.0	18.0	15.0	11.0	11.0	10.0
ENSDARG00000012574	slkb	0.4	2.0	3.0	2.0	2.0	25.0	44.0	74.0	36.0	25.0	24.0	25.0	23.0	24.0	21.0	15.0	18.0	17.0
ENSDARG00000012577	waca	69.0	88.0	272.0	289.0	215.0	189.0	190.0	169.0	116.0	93.0	87.0	81.0	70.0	71.0	61.0	57.0	55.0	53.0
ENSDARG00000012581	AL590149.1		0.1		0.4	0.5	0.9	0.3	1.0	3.0	3.0	3.0	2.0	3.0	4.0	5.0	9.0	9.0	12.0
ENSDARG00000012586	fmnl2a			0.2	0.4	0.3		0.1		1.0	0.8	1.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0
ENSDARG00000012588	ptdss1a	228.0	182.0	118.0	102.0	112.0	115.0	92.0	67.0	26.0	18.0	17.0	19.0	15.0	13.0	10.0	14.0	15.0	13.0
ENSDARG00000012591	pdcd10b	21.0	35.0	56.0	54.0	85.0	142.0	138.0	120.0	71.0	67.0	61.0	46.0	43.0	45.0	43.0	44.0	45.0	40.0
ENSDARG00000012593	col5a1		0.1	0.2	0.5	0.3	0.6	0.6	0.5	9.0	22.0	47.0	87.0	93.0	94.0	117.0	163.0	152.0	112.0
ENSDARG00000012600	si:dkey-97a13.6	0.7	1.0	1.0	2.0	0.4			0.1	0.2	0.3	0.1	0.4	0.1	0.3	0.3	0.4	2.0	2.0
ENSDARG00000012603	eif3ja	184.0	164.0	144.0	166.0	129.0	68.0	66.0	107.0	172.0	155.0	130.0	115.0	90.0	79.0	57.0	48.0	42.0	41.0
ENSDARG00000012609	hpxa															0.2			2.0
ENSDARG00000012610	saga												0.3	0.3	0.7	2.0	35.0	29.0	32.0
ENSDARG00000012625	prkag2a	16.0	11.0	33.0	35.0	10.0	2.0	2.0	0.9	3.0	2.0	4.0	6.0	7.0	7.0	6.0	10.0	12.0	12.0
ENSDARG00000012627	cdc34b	448.0	412.0	300.0	284.0	289.0	313.0	250.0	159.0	89.0	84.0	93.0	78.0	82.0	128.0	100.0	67.0	60.0	54.0
ENSDARG00000012632	zgc:92749		0.6				4.0	7.0	17.0	16.0	7.0	4.0	4.0	2.0	1.0	1.0	0.7	2.0	
ENSDARG00000012640	cideb								2.0	8.0	2.0	7.0	13.0	7.0	2.0	4.0	10.0	20.0	16.0
ENSDARG00000012642	si:ch211-266d19.4	2.0	3.0	14.0	11.0	11.0	21.0	27.0	29.0	15.0	11.0	10.0	10.0	9.0	10.0	8.0	7.0	7.0	7.0
ENSDARG00000012649	smad4b	0.5	2.0	8.0	12.0	8.0	3.0	4.0	2.0	6.0	5.0	5.0	7.0	9.0	11.0	8.0	9.0	7.0	10.0
ENSDARG00000012656	atf6	2.0	5.0	13.0	18.0	13.0	11.0	19.0	37.0	30.0	21.0	31.0	27.0	23.0	24.0	25.0	25.0	22.0	20.0
ENSDARG00000012667	tfap2b		0.9	2.0	1.0	1.0	0.3	0.1		0.9	2.0	4.0	7.0	9.0	19.0	47.0	35.0	28.0	26.0
ENSDARG00000012671	inhbaa								0.5	4.0	3.0	3.0	2.0	1.0	2.0	3.0	8.0	7.0	7.0
ENSDARG00000012672	gtf2e2	5.0	9.0	46.0	47.0	37.0	25.0	18.0	17.0	18.0	18.0	16.0	12.0	13.0	13.0	11.0	9.0	7.0	6.0
ENSDARG00000012674	rpusd4	16.0	8.0	17.0	18.0	11.0	10.0	13.0	13.0	12.0	11.0	12.0	10.0	6.0	5.0	3.0	6.0	4.0	5.0
ENSDARG00000012682	pfn2l	42.0	49.0	246.0	284.0	229.0	267.0	249.0	324.0	504.0	448.0	490.0	486.0	401.0	371.0	319.0	299.0	217.0	166.0
ENSDARG00000012684	atp2b1a	79.0	86.0	154.0	160.0	158.0	129.0	105.0	95.0	45.0	32.0	38.0	50.0	36.0	32.0	30.0	39.0	36.0	31.0
ENSDARG00000012688	eif1	64.0	142.0	308.0	341.0	515.0	771.0	895.0	682.0	675.0	618.0	556.0	570.0	512.0	559.0	590.0	619.0	526.0	498.0
ENSDARG00000012694	c3a.1	0.1	0.2	0.8	1.0	0.8	1.0	1.0	2.0	6.0	9.0	19.0	151.0	147.0	30.0	113.0	62.0	120.0	73.0
ENSDARG00000012699	bbx	12.0	22.0	15.0	14.0	7.0	15.0	16.0	14.0	7.0	6.0	6.0	3.0	3.0	5.0	4.0	5.0	4.0	4.0
ENSDARG00000012718	wee2	960.0	840.0	595.0	530.0	356.0	64.0	14.0	3.0	0.7									
ENSDARG00000012723	rbm14a	10.0	51.0	119.0	143.0	160.0	191.0	139.0	150.0	100.0	108.0	112.0	71.0	60.0	73.0	54.0	34.0	37.0	32.0
ENSDARG00000012726	calhm5.2	2.0	4.0	14.0	21.0	5.0	1.0			5.0	4.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	0.8
ENSDARG00000012729	hcls1	10.0	4.0	2.0	9.0	7.0	9.0	4.0	1.0	1.0	2.0	9.0	18.0	24.0	23.0	29.0	22.0	21.0	14.0
ENSDARG00000012741	maco1b	63.0	97.0	169.0	143.0	117.0	30.0	18.0	32.0	38.0	26.0	27.0	34.0	34.0	42.0	40.0	33.0	28.0	32.0
ENSDARG00000012745	poc1bl	6.0	6.0	14.0	9.0	8.0	2.0	3.0	8.0	13.0	7.0	10.0	11.0	10.0	7.0	6.0	9.0	10.0	9.0
ENSDARG00000012747	rer1	129.0	117.0	78.0	92.0	94.0	72.0	51.0	48.0	46.0	42.0	45.0	37.0	30.0	30.0	24.0	27.0	21.0	14.0
ENSDARG00000012763	arl13b	0.2	0.6	1.0	1.0	0.8	10.0	13.0	19.0	19.0	15.0	14.0	11.0	15.0	14.0	11.0	12.0	12.0	11.0
ENSDARG00000012776	smarca1	4.0	4.0	5.0	6.0	2.0	0.9	0.6	0.6	2.0	3.0	3.0	3.0	4.0	4.0	3.0	6.0	10.0	13.0
ENSDARG00000012777	nucks1b	95.0	87.0	60.0	45.0	121.0	340.0	417.0	359.0	152.0	135.0	121.0	119.0	105.0	94.0	81.0	81.0	80.0	77.0
ENSDARG00000012788	foxa3					112.0	259.0	196.0	120.0	30.0	10.0	17.0	14.0	13.0	6.0	10.0	13.0	10.0	9.0
ENSDARG00000012789	plek2											0.4	0.5	1.0	1.0	2.0	6.0	3.0	2.0
ENSDARG00000012790	tmem161a	61.0	67.0	50.0	61.0	50.0	34.0	16.0	9.0	20.0	33.0	58.0	65.0	56.0	54.0	29.0	22.0	21.0	19.0
ENSDARG00000012796	hnmt	9.0	30.0	48.0	60.0	43.0	40.0	12.0	3.0	9.0	9.0	16.0	36.0	22.0	9.0	5.0	16.0	25.0	15.0
ENSDARG00000012801	pfkpb	1.0	0.9	0.6	0.1	0.2	0.2		0.3	1.0	0.6	0.8	1.0	1.0	2.0	4.0	7.0	10.0	9.0
ENSDARG00000012816	dipk2aa	4.0	7.0	44.0	53.0	19.0	4.0	7.0	8.0	7.0	7.0	6.0	7.0	8.0	7.0	8.0	8.0	11.0	8.0
ENSDARG00000012818	csnk2a2a	85.0	125.0	124.0	111.0	89.0	20.0	21.0	22.0	26.0	32.0	39.0	42.0	47.0	51.0	41.0	39.0	30.0	30.0
ENSDARG00000012820	nop56	265.0	363.0	220.0	203.0	359.0	593.0	730.0	720.0	658.0	553.0	459.0	290.0	177.0	169.0	102.0	88.0	83.0	88.0
ENSDARG00000012823	dlgap4b	0.8	0.4	4.0	3.0	4.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0	5.0	6.0	5.0
ENSDARG00000012824	itga3b		0.8	1.0	0.7	0.3	0.4			14.0	10.0	15.0	22.0	17.0	12.0	13.0	11.0	13.0	11.0
ENSDARG00000012827	mettl3	101.0	76.0	121.0	99.0	80.0	49.0	79.0	82.0	53.0	44.0	41.0	30.0	30.0	26.0	18.0	8.0	9.0	6.0
ENSDARG00000012829	asah2						2.0	1.0	1.0	1.0	1.0	1.0	0.4	0.4	0.4		3.0	39.0	56.0
ENSDARG00000012833	foxn3									0.5	0.5	1.0	2.0	2.0	2.0	3.0	5.0	7.0	7.0
ENSDARG00000012840	alg9	3.0	3.0	26.0	24.0	17.0	5.0	5.0	11.0	16.0	11.0	19.0	19.0	16.0	19.0	20.0	24.0	24.0	20.0
ENSDARG00000012848	arih2	63.0	87.0	168.0	166.0	172.0	116.0	150.0	149.0	113.0	90.0	91.0	84.0	62.0	77.0	61.0	65.0	58.0	61.0
ENSDARG00000012860	tmprss4b	269.0	270.0	114.0	31.0	38.0	15.0	6.0	4.0	2.0	1.0	1.0	1.0	2.0	4.0	2.0	3.0	4.0	5.0
ENSDARG00000012866	picalma	34.0	61.0	112.0	109.0	58.0	11.0	6.0	8.0	15.0	15.0	23.0	23.0	18.0	18.0	19.0	25.0	25.0	21.0
ENSDARG00000012871	npepl1	90.0	141.0	262.0	222.0	270.0	230.0	153.0	60.0	98.0	120.0	124.0	117.0	91.0	106.0	74.0	68.0	65.0	58.0
ENSDARG00000012874	snap23.1	92.0	104.0	80.0	68.0	36.0	32.0	39.0	39.0	26.0	20.0	23.0	24.0	24.0	20.0	21.0	21.0	21.0	21.0
ENSDARG00000012881	slc4a1a	0.4	0.3		0.1					0.5	0.2	6.0	40.0	79.0	61.0	127.0	22.0	25.0	28.0
ENSDARG00000012887	znf143a	23.0	8.0	59.0	49.0	60.0	42.0	58.0	49.0	42.0	37.0	41.0	29.0	27.0	26.0	26.0	17.0	20.0	29.0
ENSDARG00000012892	ammecr1	58.0	102.0	109.0	114.0	133.0	125.0	128.0	118.0	63.0	33.0	48.0	47.0	46.0	42.0	37.0	26.0	29.0	23.0
ENSDARG00000012896	anos1a				0.3						1.0	4.0	6.0	10.0	17.0	21.0	43.0	42.0	39.0
ENSDARG00000012899	ddx49	67.0	56.0	40.0	27.0	16.0	31.0	38.0	35.0	39.0	34.0	39.0	23.0	18.0	19.0	13.0	13.0	12.0	9.0
ENSDARG00000012903	slc34a2a						0.3			0.4	0.4	0.2					2.0	41.0	38.0
ENSDARG00000012914	arhgef4	0.5	0.5	4.0	5.0	2.0	0.5	0.6	0.7	4.0	3.0	6.0	8.0	8.0	9.0	13.0	17.0	18.0	22.0
ENSDARG00000012915	ech1	11.0	14.0	30.0	28.0	31.0	30.0	26.0	16.0	11.0	16.0	23.0	25.0	19.0	20.0	16.0	23.0	31.0	22.0
ENSDARG00000012927	tcea2	9.0	18.0	25.0	23.0	18.0	2.0	1.0		8.0	13.0	14.0	12.0	15.0	19.0	16.0	20.0	20.0	20.0
ENSDARG00000012929	eif2d	0.8	3.0	21.0	22.0	19.0	12.0	12.0	14.0	34.0	31.0	31.0	30.0	25.0	23.0	19.0	11.0	12.0	14.0
ENSDARG00000012932	mat2b	3.0	7.0	33.0	34.0	25.0	9.0	10.0	10.0	13.0	12.0	11.0	9.0	7.0	8.0	6.0	6.0	7.0	6.0
ENSDARG00000012942	itgb5	14.0	24.0	119.0	116.0	64.0	24.0	47.0	60.0	18.0	13.0	10.0	14.0	14.0	14.0	12.0	19.0	18.0	15.0
ENSDARG00000012944	myhz2			0.1	0.1	0.2	0.2	0.3	0.1	0.2	0.1	1.0	33.0	199.0	304.0	450.0	510.0	535.0	644.0
ENSDARG00000012945	tnfsf13b		0.1	0.3		0.6	0.4	1.0	3.0	0.3	0.2	0.6	0.2	0.1	0.4	0.2			
ENSDARG00000012946	syap1	24.0	39.0	43.0	51.0	59.0	89.0	91.0	76.0	66.0	55.0	54.0	38.0	36.0	43.0	40.0	44.0	44.0	42.0
ENSDARG00000012949	scml2	5.0	6.0	7.0	7.0	6.0	39.0	53.0	57.0	56.0	66.0	66.0	52.0	49.0	69.0	62.0	20.0	17.0	16.0
ENSDARG00000012953	mob1bb	56.0	86.0	177.0	155.0	149.0	97.0	27.0	5.0	16.0	20.0	26.0	19.0	12.0	10.0	11.0	13.0	18.0	16.0
ENSDARG00000012968	rhoub						0.5	0.4	2.0	78.0	54.0	46.0	25.0	26.0	24.0	24.0	26.0	27.0	26.0
ENSDARG00000012972	cfl1l	87.0	252.0	327.0	412.0	389.0	340.0	293.0	242.0	218.0	361.0	542.0	651.0	664.0	466.0	654.0	493.0	390.0	331.0
ENSDARG00000012981	osbpl7	107.0	115.0	247.0	213.0	173.0	70.0	49.0	38.0	14.0	10.0	12.0	11.0	12.0	9.0	12.0	24.0	25.0	26.0
ENSDARG00000012982	nf1a	5.0	6.0	10.0	11.0	10.0	9.0	7.0	8.0	11.0	11.0	12.0	10.0	9.0	12.0	9.0	10.0	11.0	12.0
ENSDARG00000012986	adal	0.6	2.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	3.0	5.0	7.0	7.0	4.0	4.0	5.0	4.0	2.0
ENSDARG00000012987	gpia	13.0	30.0	69.0	48.0	31.0	18.0	8.0	5.0	12.0	11.0	17.0	29.0	66.0	45.0	71.0	144.0	160.0	133.0
ENSDARG00000013000	ppfia2										0.3	0.8	2.0	3.0	4.0	6.0	11.0	14.0	14.0
ENSDARG00000013004	tdg.1	0.6	0.7	1.0		9.0	42.0	61.0	92.0	152.0	143.0	146.0	113.0	110.0	128.0	87.0	47.0	30.0	20.0
ENSDARG00000013005	opcml													0.5	1.0	2.0	5.0	8.0	6.0
ENSDARG00000013009	ubiad1	10.0	22.0	31.0	40.0	31.0	25.0	26.0	30.0	32.0	32.0	28.0	19.0	17.0	25.0	21.0	29.0	24.0	22.0
ENSDARG00000013014	or101-1																0.4		0.4
ENSDARG00000013016	pole4	12.0	13.0	9.0	13.0	9.0	7.0	5.0	8.0	12.0	13.0	8.0	8.0	6.0	6.0	4.0	5.0	4.0	4.0
ENSDARG00000013020	dtnbb												0.4	0.3	2.0	2.0	8.0	8.0	9.0
ENSDARG00000013022	si:ch211-59h6.1	0.1			10.0		0.7	0.4	0.1									0.1	0.2
ENSDARG00000013023	nsun3			0.4		0.7	4.0	5.0	4.0	4.0	5.0	5.0	6.0	5.0	4.0	3.0	2.0	2.0	2.0
ENSDARG00000013024	erap1a	2.0	2.0	3.0	2.0	2.0	2.0	1.0	0.3	1.0	0.7	1.0	1.0	2.0	1.0	1.0	4.0	5.0	6.0
ENSDARG00000013025	ints6	6.0	14.0	65.0	58.0	25.0	20.0	13.0	21.0	35.0	27.0	29.0	15.0	13.0	19.0	9.0	5.0	6.0	6.0
ENSDARG00000013031	mta2	148.0	139.0	158.0	139.0	166.0	200.0	194.0	185.0	129.0	104.0	105.0	98.0	91.0	115.0	99.0	54.0	46.0	34.0
ENSDARG00000013044	ndufv2	4.0	3.0	9.0	15.0	15.0	43.0	57.0	77.0	73.0	89.0	100.0	113.0	118.0	130.0	126.0	185.0	164.0	132.0
ENSDARG00000013050	abcc12	0.4	0.8	2.0	2.0	0.5	0.1					0.2	0.1	0.1	0.6	0.4	4.0	8.0	7.0
ENSDARG00000013051	zgc:158412					0.7											2.0	2.0	0.8
ENSDARG00000013056	itpk1a					8.0	18.0	15.0	15.0	12.0	8.0	8.0	5.0	7.0	5.0	8.0	22.0	47.0	46.0
ENSDARG00000013057	hoxb5a								0.6	17.0	30.0	33.0	25.0	24.0	28.0	40.0	47.0	36.0	26.0
